ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.resp.name
10.0.0.102	53	10.0.0.103	56612	dnscat.0893012b76e996fdf7cea20023394906b6	dnscat.0893012b76e996fdf7cea20023394906b6
10.0.0.103	56612	10.0.0.102	53	dnscat.5fc8012b766ed3e2904f6f0024afc0278c	
10.0.0.102	53	10.0.0.103	56612	dnscat.5fc8012b766ed3e2904f6f0024afc0278c	dnscat.5fc8012b766ed3e2904f6f0024afc0278c
10.0.0.103	56612	10.0.0.102	53	dnscat.2a47012b76095f71e885cc002525f50024	
10.0.0.102	53	10.0.0.103	56612	dnscat.2a47012b76095f71e885cc002525f50024	dnscat.2a47012b76095f71e885cc002525f50024
10.0.0.103	56612	10.0.0.102	53	dnscat.516e012b76bb1b6b96fa0e0026f4565996	
10.0.0.102	53	10.0.0.103	56612	dnscat.516e012b76bb1b6b96fa0e0026f4565996	dnscat.516e012b76bb1b6b96fa0e0026f4565996
10.0.0.103	56612	10.0.0.102	53	dnscat.68be012b76069be961783b002797ba7590	
10.0.0.102	53	10.0.0.103	56612	dnscat.68be012b76069be961783b002797ba7590	dnscat.68be012b76069be961783b002797ba7590
10.0.0.103	56612	10.0.0.102	53	dnscat.594c012b76ae638d3aee130028c08c611d	
10.0.0.102	53	10.0.0.103	56612	dnscat.594c012b76ae638d3aee130028c08c611d	dnscat.594c012b76ae638d3aee130028c08c611d
10.0.0.103	56612	10.0.0.102	53	dnscat.0d8c012b76447ad97a9107002952e85482	
10.0.0.102	53	10.0.0.103	56612	dnscat.0d8c012b76447ad97a9107002952e85482	dnscat.0d8c012b76447ad97a9107002952e85482
10.0.0.103	56612	10.0.0.102	53	dnscat.5923012b761e804a8dc450002a1c4e225c	
10.0.0.102	53	10.0.0.103	56612	dnscat.5923012b761e804a8dc450002a1c4e225c	dnscat.5923012b761e804a8dc450002a1c4e225c
10.0.0.103	56612	10.0.0.102	53	dnscat.6ba9012b76be6f955b414c002bcc527c4e	
